name,meaning,gender
Anantram,Eternal God; Immortal God; One of many names of Lord Ram,Boy
Ananya,One-of-a-kind; Unique; One who has no match; Inimatable; Exclusive,Boy
Ananye,The Most Honourable; Utmost Respect; Great Esteem,Boy
Ananyo,Sole; Peerless,Boy
Anav,Starting; Beginning; Advancing Forward,Boy
Anay,Name of Radha's Husband as per Hindu Myth; One of the names of Lord Vishnu,Boy
Anaye,One of the names for Lord Ganesh,Boy
Anban,Lovable; Kind; Amiable; Adorable; Endearing,Boy
Anbarasan,King of Love; One who rules endearingly,Boy
Anbarasu,King of Love; One who rules endearingly,Boy
Anbu,Love; Kindness; Amiable; Adorable; Endearing,Boy
Anbumadi,Kind and Intelligent; One who is brilliant and endearing,Boy
Anbumani,Loving Gem; One whose love and kindness is so precious,Boy
Anbumoli,One who Speaks Kind Words; Language of Love,Boy
Anchaly,Cambodian word for hand.,Boy
Anchit,Worshipped; Prayed; Great Devotion,Boy
Aneel,Child of Air or Wind,Boy
Aneesh,Supreme; Ultimate; Greatest Authority,Boy
Anek,Many; numerous; large quantity,Boy
Anesh,Smart One; Brilliant; Intelligent; Excellent,Boy
Angaar,Spark of Fire; Flash of Flame; Glint of blaze,Boy
Angad,In Sanskrit it means Of my own Body; Bracelet; Armlet; An Ornament; Son of Vali,Boy
Angada,In Sanskrit it means Of my own Body; Bracelet; Armlet; An Ornament; Son of Vali,Boy
Angaj,Son,Boy
Angak,Son; A variant of name Angaj,Boy
Anggan,With Sharp Eye,Boy
Angiras,Sage; One from the mythical Luminous Race; One from class of Pitris,Boy
Angshu,Ray of Light; Hope; Chance,Boy
Anhil,Uttpatti of Chauhan,Boy
Aniij,Charming; Endearing; Adorable; Attractive,Boy
Anikait,Lord of the World; Supreme being of the Universe; Greatest of all beings,Boy
Aniket,One who has no residence; Homeless; One who is present in everything; Spirit of God,Boy
Aniketh,One who has no residence; Homeless; One who is present in everything; Spirit of God,Boy
Anilaabh,Spirit of the Wind; A derivative name from the Sanskrit word Anil which means Air,Boy
Anilabh,Spirit of the Wind; A derivative name from the Sanskrit word Anil which means Air,Boy
Anilatmaja,Spirit of the Wind; A derivative name from the Sanskrit word Anil which means Air,Boy
Anilesh,Spirit of the Wind; A derivative name from the Sanskrit word Anil which means Air,Boy
Anilkumar,Son of Wind; Hanuman; A derivative name from the Sanskrit word Anil which means Air,Boy
Animash,Bright; Open Eyed; Attractive; Endearing,Boy
Animesh,Bright; Open Eyed; Attractive; Endearing,Boy
Animish,Bright; Open Eyed; Attractive; Endearing,Boy
Aninda,Dear; Beloved,Boy
Anindit,Blameless; Faultless; Perfect; Flawless; One who is free of Guilt,Boy
Anindith,The Blameless One; One with No Faults; The Perfect ; One who is free of Guilt,Boy
Anindo,Happiness; Joy; Delight; Bliss; Pleasing,Boy
Anindya,One who Cannot Be Blamed; Faultless; One who is Guilt Free,Boy
Anirban,A Light which Never Extinguishes; Eternal Light; Ever Glowing Light,Boy
Aniruddh,Uncontrolled; Unrestrained; Without Obstacles; Name of Grandson of Lord Krishna,Boy
Aniruddha,Uncontrolled; Unrestrained; Without Obstacles; Name of Grandson of Lord Krishna,Boy
Aniruddhan,Courageous; one who is brave and has no obstacles,Boy
Anirudh,Uncontrolled; Unrestrained; Without Obstacles; Name of Grandson of Lord Krishna,Boy
Anirudha,Uncontrolled; Unrestrained; Without Obstacles; Name of Grandson of Lord Krishna,Boy
Anirudhha,Uncontrolled; Unrestrained; Without Obstacles; Name of Grandson of Lord Krishna,Boy
Anirvan,Undying; Eternal Spirit; One who never gives up,Boy
Anirved,Absence of Dejection; Self Reliant; Full of Courage,Boy
Anirvinya,One of the many names of God Vishnu,Boy
Anish,Supreme; Ultimate; Greatest Authority; One of Lord Shiva and Lord Vishnu's names,Boy
Anishk,One who has No Enemy; Supreme Being,Boy
Anit,Unending Joy; Infinite Happiness,Boy
Anitej,Immeasurable; Infinite; Vast; Endless,Boy
Aniteja,Immeasurable Splendour; Infinitely Magnificient; Endless Glory,Boy
Aniv,One of the names of Lord Muruga,Boy
Anivardh,One of the names of Lord Vishnu,Boy
Anjaan,Stranger; Unknown;,Boy
Anjalika,One of Arjuna's Arrows,Boy
Anjan,"Collyrium, kajal",Boy
Anjaney,One of many names of Hanuman in reference to him being son of Anjana,Boy
Anjaneya,One of many names of Hanuman in reference to him being son of Anjana,Boy
Anjanikumar,One of many names of Hanuman in reference to him being son of Anjana,Boy
Anjappan,Courageous and Strong; One of many names of Lord Hanuman,Boy
Anjas,Forthright; Straight Forward; Outspoken;,Boy
Anjay,Unbeatable; Unconquerable; Invincible; Unattainable,Boy
Anjesh,One of many names of Hanuman in reference to him being son of Anjana,Boy
Anjish,Sweet; Pleasant; Lovely; Nice,Boy
Anjor,Bright; Radiant; Luminant; Cheerful; Joyful,Boy
Anjul,"The basis of life, the most vital requirement of life, One who Stays in the Heart",Boy
Ankal,Whole; One who has No Illness; Complete; Thorough,Boy
Ankan,Marking,Boy
Ankesh,King of Numbers,Boy
Ankira,Loser; Follower,Boy
Ankit,The choosen One; Intelligent; Talented; Naughty,Boy
Ankshit,Permanent; A variation of name Akshit,Boy
Ankur,Flower; Blossom; Sprout; New Life; Spring,Boy
Ankura,Flower; Blossom; Sprout; New Life; Spring,Boy
Ankush,Restraint; Self Controlled; Self disciplined,Boy
Anmay,Invaluable; Priceless; Precious; One who is very valuable,Boy
Anmola,Invaluable; Priceless; Precious; One who is very valuable,Boy
Anna,Name of a King; Food; Grain; Earth and Water; God,Boy
Annadashankar,One who is provider of Food; One of many names of Lord Shiva,Boy
Annamalai,Knowledgeable; One of many names of Lord Shiva,Boy
Annavaran,Without Fear; Godsent Gift; One of many names of Lord Vishnu,Boy
Anniruddha,Unobstructed; Ungovernable; Unrestrained; Boundless,Boy
Annu,Atom; Smallest source for existence;,Boy
Annuabhuj,One of many names of Lord Shiva representing him as source for everything,Boy
Anokh,Extraordinary; Wondrous; Unique; Splendrous; Amazing,Boy
Anokha,Rare; Unique; Extraordinary; Wondrous; Amazing,Boy
Anookul,Pleasant; Good; Ideal; Compatible; Fortunate,Boy
Anoop,Incomparable; The Best; Unparalleled; Unmatched; Unique;,Boy
Anoopbir,"One who's braveness is Incomparable, Unparalleled, Unmatched and Unique;",Boy
Anoopjot,"Unique Radiance, Incomparably beautiful light; Unparalleled Glow",Boy
Anooplok,"Resident of the Beauteous Realm, Unique Beauty",Boy
Anram,Continuous,Boy
Ansh,Portion; A little part of things; Honesty,Boy
Anshika,Minute Particle; A derivative from name Anuu,Boy
Anshu,The Sun; Sun Rays; Radiance; Sunshine; Brightness,Boy
Anshuk,The Sun; Sun Rays; Radiance; Sunshine; Brightness,Boy
Anshuka,The Sun; Sun Rays; Radiance; Sunshine; Brightness,Boy
Anshumaan,The Sun; Sun Rays; Radiance; Sunshine; Brightness,Boy
Anshuman,The Sun; Sun Rays; Radiance; Sunshine; Brightness,Boy
Anshumanth,Luminous; Radiance; Brightness; Glow; Shine,Boy
Anshumat,Luminous; Radiance; Brightness; Glow; Shine,Boy
Ansu,Ray of Light; Hope; Radiant Light Beam; Glow,Boy
Ansuvra,Of Great Fortune; Destiny; Luck; Good Chance,Boy
Antang,A Complete Person; Perfect; Flawless,Boy
Antarang,Intimate; Close to Heart; Related; Soulmate; Within; Inner Heart,Boy
Antaresh,Name of a Giant Red Star,Boy
Antariksh,Space; Universe,Boy
Antarjot,Inner Light; Divine light within you; Flame of your heart,Boy
Anthahkaran,Sympathy; Kindness; Tenderness,Boy
Antim,Last; End; Utmost; Extreme;,Boy
Antriksa,Space; Outer Space; Sky; Universe,Boy
Antrix,Space; Sky,Boy
Antur,"Dawn, Decorated, Honored",Boy
Anubhav,Experience; Skill; Knowledge,Boy
Anubodh,Awareness; Responsiveness; Knowledge; Understanding,Boy
Anuchand,Handsome; Graceful; Appealing; Charming; Refined,Boy
Anudaan,"One who is Generous, Sympathetic, and Compassionate to help others",Boy
Anudeep,Divine Light; Eternal Lamp; God's Light,Boy
Anugra,Not Violent; Gentle; Mild; Peace Loving; Kind,Boy
Anugtaha,Grace; Favor; Mercy; Compassionate; Kind,Boy
Anugum,Fitting; Appropriate; Correct; Apt; Suitable,Boy
Anugun,Fitting; Appropriate; Correct; Apt; Suitable,Boy
Anugya,Authority; Permission; Power; Influence,Boy
Anuha,Satisfied; Content; Pleased; Happy,Boy
Anuhlad,Brother of Prahlad,Boy
Anuj,Younger Brother; One who is younger or born later,Boy
Anujay,Graceful Victory,Boy
Anukampa,God's Mercy; God's Blessing; God's Grace,Boy
Anukaran,Similar; Imitation,Boy
Anukul,Appropriate; Proper; Perfect; Correct;,Boy
Anunaab,Powerful; Influential; One with Authority,Boy
Anunay,Supplication; Consolation; Requesting; Comforting; Solace,Boy
Anup,Talent; Glory; Exclusive; Without Comparison; Unique,Boy
Anupam,Without Comparison; Incomparable; Unique; Exclusive,Boy
Anuraag,Love; Attachment; Affectionate; Adoring; Friendly,Boy
Anurag,Love; Attachment; Affectionate; Adoring; Friendly,Boy
Anurakta,One who surrenders with Love and affection,Boy
Anuranjan,Love; Attachment; Affectionate; Adoring; Name of a Raaga,Boy
Anurodh,A Request; Appeal,Boy
Anuroop,Beautiful; Pleasing; Appealing; Worthy; Charming; Delightful,Boy
Anurup,Handsome; Beautiful; Pleasing; Appealing; Worthy; Charming; Delightful,Boy
Anush,Sweet; Pleasant; Lovely; Nice,Boy
Anusheelan,"One whose thoughts are nice, sweet and pleasing",Boy
Anushtaan,Conduct; Regular Performance of Worship; Lead; Conduct,Boy
Anushtan,Celebration for Joy; Conduct with happiness,Boy
Anusree,Pretty; Fair; Lovely; Beautiful; Pleasing,Boy
Anuttam,Unsurpassed; Excel; To be superior in everything,Boy
Anuva,Knowledge; Brilliance; Intelligence; Well Learned,Boy
Anuvind,One who Receives; A Cousin of Lord Krishna,Boy
Anvay,Joined; Integration; United; Being together,Boy
Anvesh,Investigation; Seeker; Finder; Searcher,Boy
Anveshak,Investigation; Seeker; Finder; Searcher,Boy
Anveshan,Investigation; Seeker; Finder; Searcher,Boy
Anvit,Relation; Leader; Guide; One who always directs and leads others,Boy
Anvith,Friend; Companion;,Boy
Anwesh,Quest; Searching; Seeking; Finding,Boy
Apalala,Water dragon,Boy
Apar,Infinite; Limitless; Boundless; Endless;,Boy
Apara,Matchless; Unique; One who is exclusive and has no equivalent,Boy
Aparajit,One who cannot be conquered; Invincible; One who cannot be defeated,Boy
Aparamit,Infinite; Limitless; Boundless; Endless;,Boy
Aparampar,Infinite; Limitless; Boundless; Endless;,Boy
Aparesh,God Shiva's Invincible Worship,Boy
Aparichit,Unknown; Unexplored; Undiscovered; Unidentified;,Boy
Aparimit,Unbounded; Independent; Free; One with no limits,Boy
Aparjith,One who always wins; Always Victorious; Invincible; Unconquerable; Undefeatable,Boy
Aparoop,Uncommon; Special; Different,Boy
Apatihat,Without a Match; Unique; Exclusive; One who has no equivalent,Boy
Apekshit,Desired; Expected; Wished; Longed; Craved,Boy
Api,Father in Rejoicing; Friend; Ally; Acquaintance,Boy
Apoorv,One of a Kind or Rare; Unique; Exclusive; Matchless,Boy
Apoorva,Quite New; Unique; Rare; Exclusive; Matchless;,Boy
Apoorve,Quite New; Unique; Rare; Exclusive; Matchless;,Boy
Appaji,One of many names of Lord Venkateswara of Balaji,Boy
Appan,One's Own; God or Father,Boy
Apparajito,Undefeated; Unconquerable; Invincible; One who is always victorious,Boy
Aprameya,One of the many names of Lord Krishna,Boy
Apratihat,Without a Match; Unique; Exclusive; One who has no equivalent,Boy
Apratim,Unequalled; Unparalleled; Incomparable; Matchless; Supreme,Boy
Apremeya,Infinite; Limitless; Boundless; Endless;,Boy
Aprit,Offering; Gift; Contribution,Boy
Aptha,Reliable; Trustworthy; Rigid; Unalterable;,Boy
Apu,"Pure, Virtuous, Divine, Flawless",Boy
Apurba,Very Good; Never Seen Before,Boy
Apuroop,Valuable; Precious; Priceless; Inestimable,Boy
Apurv,Unparalleled; Extraordinary; Exceptional; Unmatched,Boy
Apurva,Unique; Unparalleled; Extraordinary; Exceptional; Unmatched,Boy
Araadhak,Worshipper; Devotee; Disciple; Follower,Boy
Arabi,Arabian,Boy
Arabinda,Lotus; Another name of Lord Brahma,Boy
Aradhak,Worshipper; Devotee; Disciple; Follower,Boy
Aradhya,To be Worshiped; Followed; Devoted; Discipled;,Boy
Araha,Son of Sun; Guiding Star,Boy
Aranab,"Ocean, Sea; Deepest sea; Vast; A variant of Arnav",Boy
Aranav,"Ocean, Sea; Deepest sea; Vast; A variant of Arnav",Boy
Aranya,"Wild Forest; it signifies fertility, abundance, plentiful, greenery, generosity",Boy
Aranyak,"Wild Forest; it signifies fertility, abundance, plentiful, greenery, generosity",Boy
Arav,Peaceful; Beautiful; Incredible; Extraordinary,Boy
Aravali,Righteous; Morally Correct; Virtuous; Name of a Hill,Boy
Aravan,Righteous; Morally Correct; Virtuous; Name son of Arjuna in The Mahabharat,Boy
Aravaraiyan,Handsome; Beautiful; Pleasing; Appealing; Worthy; Charming; Delightful,Boy
Aravind,Lotus; One with beautiful eyes; One of the many names of Lord Vishnu,Boy
Aravindhan,Lotus; One with beautiful eyes; One of the many names of Lord Vishnu,Boy
Arawinda,Lotus; One with beautiful eyes; One of the many names of Lord Vishnu,Boy
Archa,Pujan; Worship; Prayer; Devote,Boy
Archak,Worshipper; Devotee; Disciple; Follower,Boy
Archana,Worshiping One; Devoting; Puja,Boy
Archishman,Sun; Sunshine; Radiance; Brightness,Boy
Archisman,Sun; Sunshine; Radiance; Brightness,Boy
Archit,Worshipped; Prayed; Great Devotion,Boy
Ardhendru,Half Moon,Boy
Ardhendu,Half Moon,Boy
Areehah,Destroyer of Enemies; Protector;,Boy
Arghya,Offering to the Lord; Worship,Boy
Arha,One of the many names of Lord Shiva,Boy
Arhant,Destroyer of Enemies; Protector;,Boy
Arhat,Deserving; One who is qualified; Praiseworthy,Boy
Arhya,Deserving; One who is qualified; Praiseworthy,Boy
Arichit,Worshipped; Prayed; Great Devotion,Boy
Aridam,Destroyer of Foes; One who has won over all his enemies,Boy
Arihaan,"Destroyer of Demons,Evil; Protector",Boy
Arihan,One who has killed all his Enemies; Protector,Boy
Arihant,One who has killed all his Enemies; Protector,Boy
Arijit,Conquering Enemies; One who wins over all the demons; Son of Krishna and Subhadra,Boy
Arindam,One who has killed all his Enemies; Protector,Boy
Arinjay,One who wins over all the evils; Destroyer of Demons; Protector,Boy
Aristanemi,Unbroken Felly; Smooth and Uninterrupted Journey,Boy
Arisudan,Killer of Enemies; One who wins over all the evils; Destroyer of Demons; Protector,Boy
Ariv,King of Wisdom; Knowledge and Intelligence,Boy
Arivalagan,One who is Intelligent and Handsome,Boy
Arivali,One who is Brilliant; Smart; Intelligent and knowledgeable,Boy
Arivanandhan,One who is blessed with wisdom and happiness,Boy
Arivarasu,King of Wisdom; Knowledge and Intelligence,Boy
Arivazhagan,One who is Intelligent and Handsome,Boy
Arivoli,"Glowing with Intelligence, Brilliance and Knowledge",Boy
Arivu,King of Wisdom; Knowledge and Intelligence,Boy
Arivumadhi,"Intelligent, Brilliant and Knowledgeable",Boy
Arivumani,Intelligent Jem; One whose knowledge is precious,Boy
Arivunambi,"Confident, Brilliant, Knowledgeable and Intelligent",Boy
Ariyadasa,One who is Noble and Kind,Boy
Ariyapala,One who keeps up nobleness in all his deeds,Boy
Ariyaratna,One who is famous for his noble deeds;,Boy
Ariyasiri,One who is Noble and Kind,Boy
Arja,Divine; Religious;,Boy
Arjav,Forthright; Straight Forward; Outspoken;,Boy
Arjit,Earned;,Boy
Arju,Peacock; Son of Lord Indra was named Arju;,Boy
Arjya,One of the many names of Lord Krishna praising his Divinity,Boy
Arka,The Sun; Sun Rays; Radiance; Sunshine; Brightness,Boy
Arkady,truly brave; of Arcadia,Boy
Arkash,To Enlighten; Lighten Up;,Boy
Arkeshwar,The Sun; Lord of Light; Sun God,Boy
Arnay,"Wild Forest; it signifies fertility, abundance, plentiful, greenery, generosity",Boy
Arnesh,Lord of the Sea,Boy
Arnish,Lord of the Seas,Boy
Arokya,Very Pious; Healthy; One who is blessed with good life,Boy
Aroon,Mythical Charioteer of the Sun; Dawn,Boy
Aroop,Shapeless; Formless; One without any form; Extremely Beautiful,Boy
Arpan,Offering to the Lord; Worship; Submission,Boy
Arpit,To Give Something; Offering; Submission,Boy
Arpitesh,Dedicated; Committed; Devoted,Boy
Arrush,Red horses or mares of the sun of fire; Red; Rising Sun; Dawn,Boy
Arshan,"Brave, Courageous; Doer of good deeds",Boy
Arshbir,God of Sky,Boy
Arshdeep,Lamp of the Sky; Light of Universe,Boy
Arthav,Meaningful; Significant,Boy
Arthin,Ramadhutha,Boy
Arthish,Brightness of Good Shiva; One of the many names of Lord Shiva,Boy
Arthit,The Sun;,Boy
Arudra,Not Cruel; Soft; Gentle; Name of a Star; One of many names of Lord Shiva,Boy
Aruj,Rising Sun; Bright and Shining,Boy
Arul,Gods Grace; Gods Blessing; Showers of Mercy,Boy
Aruldasan,One showers grace and blessings,Boy
Aruloli,One who brings radiance and sparkle,Boy
Arulsyankar,One of the many names of Lord Shiva,Boy
Arumugam,One of the many names of Lord Muruga which signifies his six faces,Boy
Arumugan,One of the many names of Lord Muruga which signifies his six faces,Boy
Arumukhan,One of the many names of Lord Muruga which signifies his six faces,Boy
Arunabh,Glow of the sun; Red Radiance; Sky in which the Sun has just arisen,Boy
Arunah,Glow of the sun; Red Radiance; Sky in which the Sun has just arisen,Boy
Arunakar,The Sun; Glow of the sun; Radiance and light of the sun,Boy
Arunakham,The Sun; Glow of the sun; Radiance and light of the sun,Boy
Arunamshu,The Sun; Glow of the sun; Radiance and light of the sun,Boy
Arunank,The Sun; Glow of the sun; Radiance and light of the sun,Boy
Arunesh,The Sun; Glow of the sun; Radiance and light of the sun,Boy
Arunkant,One who shines like Morning Sun; Radiant and bright,Boy
Arunkiran,One who shines like Sun rays; Radiant and bright,Boy
Arunkumar,Sun's Light; Glow of the sun; Red Radiance; Sky in which the Sun has just arisen;,Boy
Arunoday,Dawn; Blooming of radiance; Sunrise;,Boy
Arunopal,The Ruby; Precious Stone of the Sun,Boy
Arup,Shapeless; Formless; One without any form; Extremely Beautiful,Boy
Arush,Red horses or mares of the sun of fire; Red; Rising Sun; Dawn,Boy
Arushan,First Rays of Morning Sun; Dawn Sun Rays; Red Radiant Light from the Sun,Boy
Aruth,Wind; Breeze; Moving Air,Boy
Arva,Fastest Motion Wind; Moving Air;,Boy
Arvalan,Lovable; Dear; Beloved;,Boy
Arvan,One of the Moon's Horses; Righteous; Morally Correct; Virtuous,Boy
Arvi,Fresh Water or Green Water,Boy
Arvinda,Lotus; One with beautiful eyes; One of the many names of Lord Vishnu,Boy
Aryadev,Name of a Philosopher; Lord of the honoured; Noble,Boy
Aryadita,Friend; The Noble Conqueror; A Noble who is bright like the sun,Boy
Aryaditya,Friend; The Noble Conqueror; A Noble who is bright like the sun,Boy
Aryak,An honourable Noble; Respected Person,Boy
Aryaki,Respected; Honoured,Boy
Aryama,The Sun,Boy
Aryamaan,Noble-minded; Aristocratic; Illustrious; Glorious; Renowned,Boy
Aryaman,Noble-minded; Aristocratic; Illustrious; Glorious; Renowned,Boy
Aryamitra,One who is friend of Aristocratic and Renowned person,Boy
Aryan,Beyond anyone's strength,Boy
Aryanathan,One of the many names of Lord Ayyappa,Boy
Aryash,Brilliant; Intelligent; Knowledgeable; Noble,Boy
Aryav,Noble Person; Wise and Knowledgeable,Boy
Aryavan,One who is Noble and Kind,Boy
Aryaveer,A noble man who is brave and courageous,Boy
Aryna,Smart and Beautiful; Noble and Pure Woman,Boy
Asadharan,Uncommon; Special; Different,Boy
Asalesh,One of the many names of Lord Shiva,Boy
Asao,Essence; Spirit; Soul; Heart; Core of life,Boy
Asaram,Hopeful; Promising; Optimistic; Faith,Boy
Asav,Essence; Spirit; Soul; Heart; Core of life,Boy
Ashane,"Grace, favoured, God is gracious, God has shown favour",Boy
Ashank,Faith; Hope; Optimistic; Promising,Boy
Ashankit,"Symbol of Hope, Faith, Promise, Optimistic",Boy
Ashanko,"Fearless, Brave, Courageous, Valiant, Bold, Daring;",Boy
Ashay,Desire; Hope; Promising; Faith; Wish; Being Optimistic,Boy
Ashcharya,Surprise; Astonish; Overwhelm; Dazed,Boy
Asheem,Boundless; Endless; Limitless; Infinite; Never Ending,Boy
Asheesh,Benediction; Blessing;God's Grace; Shower's of mercy,Boy
Ashesh,Benediction; Blessing;God's Grace; Shower's of mercy,Boy
Ashfaque,Noble Prince,Boy
Ashirvad,Benediction; Blessing;God's Grace; Shower's of mercy,Boy
Ashis,Benediction; Blessing;God's Grace; Shower's of mercy,Boy
Ashish,Benediction; Blessing;God's Grace; Shower's of mercy,Boy
Ashit,One of name of planet; Saturn,Boy
Ashlek,Powerful; Influential; One with Authority,Boy
Ashlesh,Origin; Beginning of everything; Source ; Means Embrace in Sanskrit,Boy
Ashmi,Glitering Like Diamond; Brightness like Sun; Rock Stone that shines; Happy,Boy
Ashmit,Pride; Superior,Boy
Ashneel,The Best; Unbeatable; To win or succeed in everything,Boy
Ashni,Lightning,Boy
Asho,Head of The Sun; Head of Pittal Pani,Boy
Ashokan,Without Sorrow; One who is always belessed with happiness,Boy
Ashooja,Eternally Happy; Blessed with Joy and Delight for ever in life,Boy
Ashray,Shelter; Protection; Defender,Boy
Ashraydat,One who Gives Shelter and Protection; Defender,Boy
Ashrith,One who Gives Refuge and shelter to Others; Ruler,Boy
Ashritha,One who Gives Refuge and shelter to Others; Ruler,Boy
Ashrut,Unheard; Unprecedented;,Boy
Ashumu,One with sweet Face; Beautiful and Pleasing Face,Boy
Ashuthosh,One who is quickly satisfied; Delighted and Pleasure; One of name of Lord Shiva,Boy
Ashutosh,One who is quickly satisfied; Delighted and Pleasure; One of name of Lord Shiva,Boy
Ashvanth,Strong; Brave; Powerful; Courageous,Boy
Ashvath,Strong; Brave; Powerful; Courageous,Boy
Ashvik,One who is blessed to be victorious,Boy
Ashvin,Sanskrit - Light; The first star in Evening Sky; Name of the divine twins; Considered to be Lord of Vision,Boy
Ashwabh,Lightening; A name derived from the name Ashvin which means Light,Boy
Ashwalayan,Son of Vishwamitra,Boy
Ashwani,Son of Lord Sun; A Cavalier; Son of Star Ashwin which is first star in evening sky,Boy
Ashwanth,Horse; The Talent; Son of Star Ashwin which is first star in evening sky,Boy
Ashwas,Comfort; Encourage; Support,Boy
Ashwasan,To Comfort; To Encourage; To support; To assure,Boy
Ashwat,Tree of Knowledge; Tree where Buddha medidated and Gained knowledge,Boy
Ashwath,Tree of Knowledge; Tree where Buddha medidated and Gained knowledge,Boy
Ashwatham,Immortal; Eternal; Lives for Forever; Never Ending,Boy
Ashwathama,Immortal; Eternal; Lives for Forever; Never Ending,Boy
Ashwatthama,Son of Dronacharya; Immortal; Eternal; Lives forever,Boy
Ashwini,Derived from Sanskrit word Ashvin means Cavalier; possessor of Horses; First Star in Sky; Light,Boy
Asidhan,One of name of Lord Vishnu and Shiva; Devotee of Saturn,Boy
Asija,A Great Sage; Brother of Brihaspati,Boy
Asiri,Blessings,Boy
Asish,Blessing from the elderly; Derived from the word Aashirwaad,Boy
Asit,Black; one which is not white; Planet; One half of Shiva; One of name of Lord Ganesh,Boy
Asitvaran,Dark Complexioned; One of name of Lord Ganesh,Boy
Askha,More Liberal; Free,Boy
Aslesh,Origin; Beginning of everything; Source ; Means Embrace in Sanskrit,Boy
Asmit,Pride; Superior,Boy
Asokan,Without Sorrow; One who is always belessed with happiness,Boy
Asoke,A Blessed Generation,Boy
Asotosa,"One who fulfills the wishes, desires, wants and needs instantly",Boy
Aspi,One of many names of Lord Vishnu,Boy
Asseem,Boundless; Endless; Limitless; Infinite; Never Ending,Boy
Asthamurthi,One of many names of Lord Shiva,Boy
Asthik,One who believes in God; Religious; Pious; one who has faith in God,Boy
Astik,One who believes in God; Religious; Pious; one who has faith in God,Boy
Astika,One who believes in the authority of God and Vedas,Boy
Astitva,Existence; Survival; Life,Boy
Astutayu,Aristanemi's son,Boy
Asul,Wealth; Rich; Abundance; Ample,Boy
Asuman,Turkish - Sky; Hindi - Lord of Vital Breaths,Boy
Asuya,Jealous,Boy
Asvathama,Son of Dronacharya; Immortal; Eternal; Lives forever,Boy
Asvin,Derived from Sanskrit word Ashvin means Cavalier; possessor of Horses; First Star in Sky; Light,Boy
Aswaghosh,Name of a Philosopher; Horse's Neigh,Boy
Aswanth,Victorious; Conquering; Triumphant; Great King,Boy
Aswantha,Tree of Knowledge; Tree where Buddha medidated and Gained knowledge,Boy
Aswath,Tree of Knowledge; Tree where Buddha medidated and Gained knowledge,Boy
Aswattama,Son of Dronacharya; Immortal; Eternal; Lives forever,Boy
Aswin,Derived from Sanskrit word Ashvin means Cavalier; possessor of Horses; First Star in Sky; Light,Boy
Aswinikumar,Derived from Sanskrit word Ashvin means Cavalier; possessor of Horses; First Star in Sky; Light,Boy
Atambhu,The Holy Trinity,Boy
Atamendra,Bliss of Soul; Happy Soul; Peaceful Soul,Boy
Atamjit,Victory of Spirituality Knowledge ; Victory of Soul or Self,Boy
Atamjyot,Light of the Soul; Flame of Spirit,Boy
Atamveer,"Brave, Courageous, Strong from Soul",Boy
Atanu,Sanskrit - Divine; Formless; Cupid,Boy
Atchut,Great Person,Boy
Ateeksh,Wise; Knowledgeable; Learned; Noble,Boy
Ateet,Past; Things that cannot be changed,Boy
Ateeth,Inconceiveable to Sense Organs; God,Boy
Atharv,One of names of Lord Ganesha; Knower of Vedas; Knowledgeable One,Boy
Atharva,One of names of Lord Ganesha; Knower of Vedas; Knowledgeable One,Boy
Atharvan,One of names of Lord Ganesha; Knower of Vedas; Knowledgeable One,Boy
Athavale,Remembered; Memorised,Boy
Athawale,Remembered; Memorised,Boy
Athervan,One of names of Lord Ganesha; Knower of Vedas; Knowledgeable One,Boy
Athiban,Leader; Born to Win as a Leader; One of many names of Lord Ayyapa's,Boy
Athiya,One of names of Lord Ganesha; Knowledgeable One,Boy
Athrv,One of names of Lord Ganesha; Knowledgeable One,Boy
Athula,"Something that's immeasurable, incomparable",Boy
Ati,Egyptian - Father; Hindi - Too Much; Extreme,Boy
Atiksh,Wise; Knowledgeable; Learned; Noble,Boy
Atimanav,Extremely efficient and very capable man,Boy
Atish,Fire; Splendor; Explosive; A dynamic person; Fireworks; One of names of Lord Ganesha,Boy
Atishay,Successful; Bright; Splendorous; Dynamic,Boy
Atit,Past; Things that cannot be changed,Boy
Atith,Sunny day or Sunday,Boy
Atitheya,Inconceiveable to Sense Organs; God,Boy
Atithi,Guest; Caller,Boy
Atma,Soul; Spirit,Boy
Atmaj,Son; Descendant,Boy
Atmaja,Son; Descendant,Boy
Atmajyoti,Light of the Soul; Flame of Spirit,Boy
Atman,The Self; Oneself; Soul; Spirit,Boy
Atmanand,Blissful; Happy; Delightful; Joyous; Pleasant,Boy
Atmananda,Bliss of Soul; Happy Soul; Peaceful Soul,Boy
Atmaram,Soul; Spirit; Self; Inner Heart,Boy
Atmik,Relating to the Soul; one who can relate with his inner heart,Boy
Atmiya,Friend; our near and dear ones; one who is close to heart,Boy
Atmoja,Sanskrit name meaning son of the soul,Boy
Atraiu,Great Warrior; Fighter; Defender,Boy
Atral,Skilled; Powerful; Mighty; Expert;,Boy
Atralarasu,Skilled King; Great Leader; Mighty Ruler; Powerful King,Boy
Atreya,"Receptacle of Glory; A descendant of Atri, One of the great Hindu sages",Boy
Atri,Name of Hindu Rishi; A star; Son of Brahma; One who overcomes; Voyager through life,Boy
Attam,God's Gift;,Boy
Attamjit,Victory of Spirituality Knowledge ; Victory of Soul or Self,Boy
Atulprasad,Boundless Blessings; One whp is blessed Infinitely;,Boy
Atulya,Unweighable; Incomparable; Matchless;One who has no equivalent; Unique,Boy
